time0,time,mode,uncertainty,skew
2009,2009,2295,1077.159227,0.528690444
2009,2009.25,2295,1077.159227,0.528690444
2009,2009.5,2295,1077.159227,0.528690444
2009,2009.75,2295,1077.159227,0.528690444
2010,2010,2750,709.8055099,1.311239053
2010,2010.25,2750,709.8055099,1.311239053
2010,2010.5,2750,709.8055099,1.311239053
2010,2010.75,2750,709.8055099,1.311239053
2011,2011,2992,1482.713595,1.329745979
2011,2011.25,2992,1482.713595,1.329745979
2011,2011.5,2992,1482.713595,1.329745979
2011,2011.75,2992,1482.713595,1.329745979
2012,2012,3999,1075.003115,0.37390328
2012,2012.25,3999,1075.003115,0.37390328
2012,2012.5,3999,1075.003115,0.37390328
2012,2012.75,3999,1075.003115,0.37390328
2013,2013,5742,1466.381622,-0.338364222
2013,2013.25,5742,1466.381622,-0.338364222
2013,2013.5,5742,1466.381622,-0.338364222
2013,2013.75,5742,1466.381622,-0.338364222
2014,2014,5599.5,1315.826823,0.315709936
2014,2014.25,5599.5,1315.826823,0.315709936
2014,2014.5,5599.5,1315.826823,0.315709936
2014,2014.75,5599.5,1315.826823,0.315709936
2015,2015,6592,1389.560259,-0.442331732
2015,2015.25,6592,1389.560259,-0.442331732
2015,2015.5,6592,1389.560259,-0.442331732
2015,2015.75,6592,1389.560259,-0.442331732
2016,2016,8495,1701.193699,-0.584483542
2016,2016.25,8495,1701.193699,-0.584483542
2016,2016.5,8495,1701.193699,-0.584483542
2016,2016.75,8495,1701.193699,-0.584483542
2017,2017,10747,2263.678224,-0.045190862
2017,2017.25,10747,2263.678224,-0.045190862
2017,2017.5,10747,2263.678224,-0.045190862
2017,2017.75,10747,2263.678224,-0.045190862
2018,2018,13197,1284.957505,0.059284113
2018,2018.25,13197,1284.957505,0.059284113
2018,2018.5,13197,1284.957505,0.059284113
2018,2018.75,13197,1284.957505,0.059284113
2019,2019,14995,542.5922349,-0.494596843
2019,2019.25,14995,542.5922349,-0.494596843
2019,2019.5,14995,542.5922349,-0.494596843
2019,2019.75,14995,542.5922349,-0.494596843
2020,2020,16968.13993,654.517541,-0.494596843
2020,2020.25,16968.13993,747.6918571,-0.494596843
2020,2020.5,16968.13993,825.2565604,-0.494596843
2020,2020.75,16968.13993,889.8267495,-0.494596843
2021,2021,18941.27986,943.579412,-0.494596843
2021,2021.25,18941.27986,988.326822,-0.494596843
2021,2021.5,18941.27986,1025.577641,-0.494596843
2021,2021.75,18941.27986,1056.587783,-0.494596843
2022,2022,20914.41979,1082.402755,-0.494596843
2022,2022.25,20914.41979,1103.892912,-0.494596843
2022,2022.5,20914.41979,1121.782796,-0.494596843
2022,2022.75,20914.41979,1136.675565,-0.494596843
2023,2023,22887.55972,1149.073328,-0.494596843
2023,2023.25,22887.55972,1159.394079,-0.494596843
2023,2023.5,22887.55972,1167.985781,-0.494596843
2023,2023.75,22887.55972,1175.138104,-0.494596843
2024,2024,24860.69965,1181.092189,-0.494596843
2024,2024.25,24860.69965,1186.048779,-0.494596843
2024,2024.5,24860.69965,1190.174985,-0.494596843
2024,2024.75,24860.69965,1193.609922,-0.494596843
2025,2025,26833.83958,1196.4694,-0.494596843
2025,2025.25,26833.83958,1198.849826,-0.494596843
2025,2025.5,26833.83958,1200.831456,-0.494596843
2025,2025.75,26833.83958,1202.481101,-0.494596843
2026,2026,28806.97951,1203.854379,-0.494596843
2026,2026.25,28806.97951,1204.99759,-0.494596843
2026,2026.5,28806.97951,1205.949277,-0.494596843
2026,2026.75,28806.97951,1206.741527,-0.494596843
