time0,time,mode,uncertainty,skew
2009,2009,3400,,
2009,2009.25,3400,,
2009,2009.5,3400,,
2009,2009.75,3400,,
2010,2010,4492,1558.463346,0
2010,2010.25,4492,1558.463346,0
2010,2010.5,4492,1558.463346,0
2010,2010.75,4492,1558.463346,0
2011,2011,11698,,
2011,2011.25,11698,,
2011,2011.5,11698,,
2011,2011.75,11698,,
2012,2012,15290,3107.441343,-0.397298076
2012,2012.25,15290,3107.441343,-0.397298076
2012,2012.5,15290,3107.441343,-0.397298076
2012,2012.75,15290,3107.441343,-0.397298076
2013,2013,15637.5,2042.836994,0.475818945
2013,2013.25,15637.5,2042.836994,0.475818945
2013,2013.5,15637.5,2042.836994,0.475818945
2013,2013.75,15637.5,2042.836994,0.475818945
2014,2014,17346.5,3013.032553,-0.820285932
2014,2014.25,17346.5,3013.032553,-0.820285932
2014,2014.5,17346.5,3013.032553,-0.820285932
2014,2014.75,17346.5,3013.032553,-0.820285932
2015,2015,19979,2722.344797,-0.219022516
2015,2015.25,19979,2722.344797,-0.219022516
2015,2015.5,19979,2722.344797,-0.219022516
2015,2015.75,19979,2722.344797,-0.219022516
2016,2016,20995,2178.2359,0.172697545
2016,2016.25,20995,2178.2359,0.172697545
2016,2016.5,20995,2178.2359,0.172697545
2016,2016.75,20995,2178.2359,0.172697545
2017,2017,28027,2272.243737,-1.318591274
2017,2017.25,28027,2272.243737,-1.318591274
2017,2017.5,28027,2272.243737,-1.318591274
2017,2017.75,28027,2272.243737,-1.318591274
2018,2018,28999,2477.496426,0.663792645
2018,2018.25,28999,2477.496426,0.663792645
2018,2018.5,28999,2477.496426,0.663792645
2018,2018.75,28999,2477.496426,0.663792645
2019,2019,32990,2421.220124,-0.116968105
2019,2019.25,32990,2421.220124,-0.116968105
2019,2019.5,32990,2421.220124,-0.116968105
2019,2019.75,32990,2421.220124,-0.116968105
2020,2020,37084.67304,2325.5937,0.252806534
2020,2020.25,36985.25248,2339.383475,0.148927186
2020,2020.5,36887.03071,2351.819016,0.074112203
2020,2020.75,36789.99326,2363.033318,0.020229676
2021,2021,39207.6606,2497.245731,-0.262016095
2021,2021.25,39105.01268,2494.732421,-0.221576748
2021,2021.5,39003.60246,2492.465931,-0.192451912
2021,2021.75,38903.415,2490.422023,-0.171475902
2022,2022,42721.87039,2457.682361,0.00389792
2022,2022.25,42580.89462,2455.192463,-0.030244856
2022,2022.5,42441.6187,2452.947086,-0.054834837
2022,2022.75,42304.02211,2450.922218,-0.072544796
2023,2023,45571.8145,2379.393474,-0.190810345
2023,2023.25,45381.74338,2387.422335,-0.170355858
2023,2023.5,45193.96407,2394.662716,-0.155624323
2023,2023.75,45008.44894,2401.192051,-0.14501452
2024,2024,48010.6963,2489.724626,-0.067910895
2024,2024.25,47802.78294,2487.510888,-0.081921341
2024,2024.5,47597.37653,2485.514551,-0.09201181
2024,2024.75,47394.44683,2483.714266,-0.09927907
2025,2025,50833.085,2466.160752,-0.150243156
2025,2025.25,50587.74845,2463.577073,-0.141165918
2025,2025.5,50345.37008,2461.247126,-0.134628397
2025,2025.75,50105.91422,2459.145993,-0.129920007
2026,2026,53198.46535,2406.913362,-0.096422806
2026,2026.25,52922.03747,2411.955128,-0.102438159
2026,2026.5,52648.94266,2416.501764,-0.106770478
2026,2026.75,52379.14074,2420.601895,-0.10989066
